点赞再看,#genre#
CHC影迷电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
CHC动作电影,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D
CHC家庭影院,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D
CHC家庭影院,http://gat.bkpcp.top/akmg.php?id=chcjt
CHC动作电影,http://gat.bkpcp.top/akmg.php?id=chcdz
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC影迷电影,http://eastscreen.tv/ooooo.php?id=chchd
CHC家庭影院,http://gat.bkpcp.top/sdjy.php?id=449d51febadb152094085d373b9af94a6ac5f1dd
CHC动作电影,http://gat.bkpcp.top/sdjy.php?id=e0096742f0c5be4c5225cf3c7ab1077177bec05f
CHC影迷电影,http://gat.bkpcp.top/sdjy.php?id=bca6167afdef7fc773405c38e695b342c1d1eca0
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D

浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
广东卫视,http://gat.bkpcp.top/ymg.php?id=gdws
江苏卫视,http://gat.bkpcp.top/ymg.php?id=jsws
陕西卫视,http://gat.bkpcp.top/ymg.php?id=sxws
江西卫视,http://gat.bkpcp.top/ymg.php?id=jxws
湖北卫视,http://gat.bkpcp.top/ymg.php?id=hubws
四川卫视,http://gat.bkpcp.top/tygq.php?id=scws
广东卫视,http://gat.bkpcp.top/tygq.php?id=gdws
河南卫视,http://gat.bkpcp.top/tygq.php?id=henws
重庆卫视,http://gat.bkpcp.top/tygq.php?id=cqws
辽宁卫视,http://gat.bkpcp.top/tygq.php?id=lnws
江西卫视,http://gat.bkpcp.top/tygq.php?id=jxws
山西卫视,http://gat.bkpcp.top/tygq.php?id=sxws
陕西卫视,http://gat.bkpcp.top/tygq.php?id=saaxws
吉林卫视,http://gat.bkpcp.top/tygq.php?id=jlws
湖北卫视,http://gat.bkpcp.top/tygq.php?id=hbws
东南卫视,http://gat.bkpcp.top/tygq.php?id=dnws
贵州卫视,http://gat.bkpcp.top/tygq.php?id=gzws
广西卫视,http://gat.bkpcp.top/tygq.php?id=gxws
云南卫视,http://gat.bkpcp.top/tygq.php?id=ynws
甘肃卫视,http://gat.bkpcp.top/tygq.php?id=gsws
内蒙古卫视,http://gat.bkpcp.top/tygq.php?id=nmws
兵团卫视,http://gat.bkpcp.top/tygq.php?id=btws
青海卫视,http://gat.bkpcp.top/tygq.php?id=qhws
新疆卫视,http://gat.bkpcp.top/tygq.php?id=xjws
西藏卫视,http://gat.bkpcp.top/tygq.php?id=xzws
宁夏卫视,http://gat.bkpcp.top/tygq.php?id=nxws
海南卫视,http://gat.bkpcp.top/tygq.php?id=hanws
湖南卫视,http://gat.bkpcp.top/docker.php?id=hunan#http://gat.bkpcp.top/xx.php?id=hnws
北京卫视,http://gat.bkpcp.top/xx.php?id=bjws
东方卫视,http://gat.bkpcp.top/xx.php?id=dfws
天津卫视,http://gat.bkpcp.top/xx.php?id=tjws
重庆卫视,http://gat.bkpcp.top/xx.php?id=cqws
黑龙江卫视,http://gat.bkpcp.top/xx.php?id=hljws
吉林卫视,http://gat.bkpcp.top/xx.php?id=jlws
延边卫视,http://gat.bkpcp.top/xx.php?id=ybws
辽宁卫视,http://gat.bkpcp.top/xx.php?id=lnws
内蒙古卫视,http://gat.bkpcp.top/xx.php?id=nmgws
内蒙古卫视蒙语,http://gat.bkpcp.top/xx.php?id=nmmws
宁夏卫视,http://gat.bkpcp.top/xx.php?id=nxws
甘肃卫视,http://gat.bkpcp.top/xx.php?id=gsws
青海卫视,http://gat.bkpcp.top/xx.php?id=qhws
安多卫视,http://gat.bkpcp.top/xx.php?id=adws
河北卫视,http://gat.bkpcp.top/xx.php?id=hbws
山西卫视,http://gat.bkpcp.top/xx.php?id=sxiws
山东卫视,http://gat.bkpcp.top/xx.php?id=sdws
安徽卫视,http://gat.bkpcp.top/xx.php?id=ahws
河南卫视,http://gat.bkpcp.top/xx.php?id=henws
湖北卫视,http://gat.bkpcp.top/xx.php?id=hbws
江西卫视,http://gat.bkpcp.top/xx.php?id=jxws
江苏卫视,http://gat.bkpcp.top/xx.php?id=jsws
浙江卫视,http://gat.bkpcp.top/xx.php?id=zjws
东南卫视,http://gat.bkpcp.top/xx.php?id=dnws
海峡卫视,http://gat.bkpcp.top/xx.php?id=hxws
厦门卫视,http://gat.bkpcp.top/xx.php?id=xmws
广东卫视,http://gat.bkpcp.top/xx.php?id=gdws
深圳卫视,http://gat.bkpcp.top/xx.php?id=szws
大湾区卫视,http://gat.bkpcp.top/xx.php?id=dwqws
广西卫视,http://gat.bkpcp.top/xx.php?id=gxws
云南卫视,http://gat.bkpcp.top/xx.php?id=ynws
贵州卫视,http://gat.bkpcp.top/xx.php?id=gzws
四川卫视,http://gat.bkpcp.top/xx.php?id=scws
康巴卫视,http://gat.bkpcp.top/xx.php?id=kbws
新疆卫视,http://gat.bkpcp.top/xx.php?id=xjws
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/ysp/2022606701/timeshift.m3u8?delay=0
兵团卫视,http://gat.bkpcp.top/xx.php?id=btws
西藏卫视,http://gat.bkpcp.top/xx.php?id=xzws
西藏藏语卫视,http://gat.bkpcp.top/xx.php?id=xzws
海南卫视,http://gat.bkpcp.top/xx.php?id=hinws
陕西卫视,http://gat.bkpcp.top/xx.php?id=shanxiws
山东教育,http://gat.bkpcp.top/xx.php?id=sdjy


七彩戏剧,http://gat.bkpcp.top/ymg.php?id=qcxj
东方影视,http://gat.bkpcp.top/ymg.php?id=shys
CHC家庭影院,http://gat.bkpcp.top/ymg.php?id=jtyy
欢笑剧场,http://gat.bkpcp.top/ymg.php?id=hxjc
劲爆体育,http://gat.bkpcp.top/ymg.php?id=jbty
魅力足球,http://gat.bkpcp.top/ymg.php?id=mlzq
游戏风云,http://gat.bkpcp.top/ymg.php?id=yxfy

CCTV-1综合,http://gat.bkpcp.top/xx.php?id=cctv1
CCTV-2财经,http://gat.bkpcp.top/xx.php?id=cctv2
CCTV-4中文国际,http://gat.bkpcp.top/xx.php?id=cctv4
CCTV-6电影,http://gat.bkpcp.top/xx.php?id=cctv6
CCTV-7国防军事,http://gat.bkpcp.top/xx.php?id=cctv7
CCTV-10科教,http://gat.bkpcp.top/xx.php?id=cctv10
CCTV-12社会与法,http://gat.bkpcp.top/xx.php?id=cctv12
CCTV-13新闻,http://gat.bkpcp.top/xx.php?id=cctv13
CCTV-17农业农村,http://gat.bkpcp.top/xx.php?id=cctv17
CGTN,http://gat.bkpcp.top/xx.php?id=cgtn
CETV-1,http://gat.bkpcp.top/xx.php?id=cetv1





CGTN纪录频道,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8#https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN法语频道,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8#https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN俄语频道,https://russian-liveali.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8?#http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN西班牙语频道,https://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8#http://livees.cgtn.com/500e/prog_index.m3u8
CGTN阿拉伯语频道,https://arabic-liveali.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8#http://livear.cgtn.com/1000a/prog_index.m3u8
1905国内电影,http://gat.bkpcp.top/1905.php?id=1905b
1905国外电影,http://gat.bkpcp.top/1905.php?id=1905a

1905国内电影,http://ygbh.live/1905.php?id=1905a
1905国外电影,http://ygbh.live/1905.php?id=1905b
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv

http://cdn9.1689.us.kg/smt1.1.php?id=Wlt
凤凰中文,http://serv00.bkpcp.top/fhx.php?id=fhzw
凤凰资讯,http://serv00.bkpcp.top/fhx.php?id=fhzx
凤凰香港,http://serv00.bkpcp.top/fhx.php?id=fhhk
凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8

凤凰中文,http://serv00.bkpcp.top/Smar.php?id=phoenixtv_hd
凤凰中文,http://serv00.bkpcp.top/Smartv.php?id=phoenixtv_hd
凤凰资讯,http://serv00.bkpcp.top/Smartv.php?id=phoenixinfo_hd
凤凰香港,http://serv00.bkpcp.top/Smartv.php?id=hkphoenix_twn
TVB华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade#http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali


东方卫视,http://gat.bkpcp.top/akmg.php?id=dfws
吉林卫视,http://gat.bkpcp.top/akmg.php?id=jlws
青海卫视,http://gat.bkpcp.top/akmg.php?id=qhws
陕西卫视,http://gat.bkpcp.top/akmg.php?id=sxws
湖北卫视,http://gat.bkpcp.top/akmg.php?id=hubws
江西卫视,http://gat.bkpcp.top/akmg.php?id=jxws
江苏卫视,http://gat.bkpcp.top/akmg.php?id=jsws
广东卫视,http://gat.bkpcp.top/akmg.php?id=gdws
大湾区卫视,http://gat.bkpcp.top/akmg.php?id=dwqws
海南卫视,http://gat.bkpcp.top/akmg.php?id=hinws
四海钓鱼,http://gat.bkpcp.top/akmg.php?id=shdy
江苏教育,http://gat.bkpcp.top/akmg.php?id=jsjy
山东教育,http://gat.bkpcp.top/akmg.php?id=sdjy
游戏风云,http://gat.bkpcp.top/akmg.php?id=yxfy
之江纪录,http://gat.bkpcp.top/akmg.php?id=zjjl
杭州综合,http://gat.bkpcp.top/akmg.php?id=hzzh
杭州明珠,http://gat.bkpcp.top/akmg.php?id=hzmz
杭州生活,http://gat.bkpcp.top/akmg.php?id=hzsh
杭州影视,http://gat.bkpcp.top/akmg.php?id=hzys
杭州少儿体育,http://gat.bkpcp.top/akmg.php?id=hzse
嵊泗新闻综合,http://gat.bkpcp.top/akmg.php?id=ssxwzh
普陀新闻综合,http://gat.bkpcp.top/akmg.php?id=ptxwzh
高清大片,http://gat.bkpcp.top/akmg.php?id=gqdp
经典电影,http://gat.bkpcp.top/akmg.php?id=jdxgdy
军事迷必看大片,http://gat.bkpcp.top/akmg.php?id=jsdp
热剧联播,http://gat.bkpcp.top/akmg.php?id=rjlb
赛事最经典,http://gat.bkpcp.top/akmg.php?id=sszjd
体坛名栏汇,http://gat.bkpcp.top/akmg.php?id=ttmlh
新片放映厅,http://gat.bkpcp.top/akmg.php?id=xpfyt
Y+剧场,http://gat.bkpcp.top/akmg.php?id=yjjc



湖南卫视,http://gat.bkpcp.top/sdjy.php?id=9b1ccba5a2c611bb5d7c96243695572090cca5fd
浙江卫视,http://gat.bkpcp.top/sdjy.php?id=f650ba03bb4883fe67a1fb7c193a00a4c0c93881
江苏卫视,http://gat.bkpcp.top/sdjy.php?id=0be64515076e489456de2f33e7b58ff1b392d3b3
东方卫视,http://gat.bkpcp.top/sdjy.php?id=4015e6015b3b818a4cbc2247960b8536a3cd0153
安徽卫视,http://gat.bkpcp.top/sdjy.php?id=6e91e17de838dbf7c77f9ed8e41726bd4a1516f5
黑龙江卫视,http://gat.bkpcp.top/sdjy.php?id=fe1745c7599e85d0a34fa0ad3986ef25c2ed7c6f
辽宁卫视,http://gat.bkpcp.top/sdjy.php?id=73aedb8ffd21b3b8afe4664591d4cb3a5cced827
深圳卫视,http://gat.bkpcp.top/sdjy.php?id=536ebe8b7165b25c8670e42eb8b7b4b6d178f158
广东卫视,http://gat.bkpcp.top/sdjy.php?id=57e80ee85ec1f4e523e1bca55f5a676abd292db8
天津卫视,http://gat.bkpcp.top/sdjy.php?id=41433c450cf4747cf2600adecc560bc90f344182
湖北卫视,http://gat.bkpcp.top/sdjy.php?id=a8e4cf2bade25844b998d7743d83331412ea841f
山东卫视,http://gat.bkpcp.top/sdjy.php?id=8b205af319dcc92c60a69a96423af21b24a29ca0
重庆卫视,http://gat.bkpcp.top/sdjy.php?id=b14734af7f740eb61419248c57e25551a7d1093f
四川卫视,http://gat.bkpcp.top/sdjy.php?id=ca3f021632b48e6960797776657926074723d276
东南卫视,http://gat.bkpcp.top/sdjy.php?id=7a202b5f39c56db4ca3ca7a3dc21b073c9bc472a
河北卫视,http://gat.bkpcp.top/sdjy.php?id=0d0303a991ca71e06290b546e34104dbe0d0c64a
江西卫视,http://gat.bkpcp.top/sdjy.php?id=5262d7f97311b82a4a460f3b8221e4a7d394c2c0
河南卫视,http://gat.bkpcp.top/sdjy.php?id=4bc76db1677c6cd2176e652ed6fc1cd44d8c297b
陕西卫视,http://gat.bkpcp.top/sdjy.php?id=ebc9ec3e297c071df95d759b6313b9d9dbc3dbda
吉林卫视,http://gat.bkpcp.top/sdjy.php?id=44a878b1782810307d4d6918ae1da1712976350e
广西卫视,http://gat.bkpcp.top/sdjy.php?id=15f9ffc8f72eb7f7ddfe79669f246e4db4acc3c1
西藏卫视,http://gat.bkpcp.top/sdjy.php?id=223db5dc75cab2536cbebcda8e6730ff6bf58309
内蒙古卫视,http://gat.bkpcp.top/sdjy.php?id=5a601b122fcaacb6480b65cb74ee8f76347020d6
青海卫视,http://gat.bkpcp.top/sdjy.php?id=468aa6e90a67946eeb0e862e4b9f2764ee13cc75
山西卫视,http://gat.bkpcp.top/sdjy.php?id=74908123d020c1a9f55e8a9652973187bcd07970
厦门卫视,http://gat.bkpcp.top/sdjy.php?id=151ef24b315bb7709d1a2f7a35d260932c6e9eb5
新疆卫视,http://gat.bkpcp.top/sdjy.php?id=d75bf52e702ca0fb44344fc2e86e7675ac112ec7
云南卫视,http://gat.bkpcp.top/sdjy.php?id=d45a277ca433670e3f463b497783af19bb2c63f8
宁夏卫视,http://gat.bkpcp.top/sdjy.php?id=eefad27700cf7ea30b4f5145f0b8d466a27c1478
甘肃卫视,http://gat.bkpcp.top/sdjy.php?id=975463fd39229112f75925af024d6ed11de84a0e
兵团卫视,http://gat.bkpcp.top/sdjy.php?id=bfbbd9a299af8614a14139c6d5ecb8ba27bd38ba
海南卫视,http://gat.bkpcp.top/sdjy.php?id=6439a34cf7b96bdfd8c4234fc91cb4912c9becd1
贵州卫视,http://gat.bkpcp.top/sdjy.php?id=11e39871ee899ed6c7bddadb1c83cbd658562297

CCTV-1综合,http://gat.bkpcp.top/ysp2.php?param=026&id=2024078203
CCTV-2财经,http://gat.bkpcp.top/ysp2.php?param=028&id=2024075403
CCTV-3综艺,http://gat.bkpcp.top/ysp2.php?param=043&id=2024068503
CCTV-4中文国际,http://gat.bkpcp.top/ysp2.php?param=026&id=2024078303
CCTV-5体育,http://gat.bkpcp.top/ysp2.php?param=055&id=2024078403
CCTV-5+体育赛事,http://gat.bkpcp.top/ysp2.php?param=001&id=2024078003
CCTV-6电影,http://gat.bkpcp.top/ysp2.php?param=066&id=2024086203
CCTV-6电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8#http://mobilelive-timeshift.ysp.cctv.cn/ysp/2013693901/timeshift.m3u8?delay=0
CCTV-7国防军事,http://gat.bkpcp.top/ysp2.php?param=064&id=2024072003
CCTV-8电视剧,http://gat.bkpcp.top/ysp2.php?param=039&id=2024078503
CCTV-9纪录,http://gat.bkpcp.top/ysp2.php?param=012&id=2024078603
CCTV-10科教,http://gat.bkpcp.top/ysp2.php?param=110&id=2024078703
CCTV-11戏曲,http://gat.bkpcp.top/ysp2.php?param=040&id=2024078803
CCTV-12社会与法,http://gat.bkpcp.top/ysp2.php?param=104&id=2024078903
CCTV-13新闻,http://gat.bkpcp.top/ysp2.php?param=046&id=2024079003
CCTV-14少儿,http://gat.bkpcp.top/ysp2.php?param=010&id=2024079103
CCTV-15音乐,http://gat.bkpcp.top/ysp2.php?param=080&id=2024079203
CCTV-16奥运,http://gat.bkpcp.top/ysp2.php?param=211&id=2024079303
CCTV-16奥运,http://gat.bkpcp.top/ysp2.php?param=047&id=2024083703
CCTV-17农业农村,http://gat.bkpcp.top/ysp2.php?param=029&id=2024079503
CCTV兵器科技,http://gat.bkpcp.top/ysp2.php?param=002&id=2024172103
CCTV怀旧剧场,http://gat.bkpcp.top/ysp2.php?param=006&id=2024171903
CCTV第一剧场,http://gat.bkpcp.top/ysp2.php?param=031&id=2024171803
CCTV风云剧场,http://gat.bkpcp.top/ysp2.php?param=096&id=2024171703
CCTV风云音乐,http://gat.bkpcp.top/ysp2.php?param=028&id=2024163303
CCTV风云足球,http://gat.bkpcp.top/ysp2.php?param=030&id=2012514203
CCTV央视文化精品,http://gat.bkpcp.top/ysp2.php?param=017&id=2024172303
CCTV女性时尚,http://gat.bkpcp.top/ysp2.php?param=010&id=2024172203
CCTV电视指南,http://gat.bkpcp.top/ysp2.php?param=022&id=2024172503
CCTV世界地理,http://gat.bkpcp.top/ysp2.php?param=008&id=2024172003
CCTV高尔夫网球,http://gat.bkpcp.top/ysp2.php?param=085&id=2024166203
CCTV央视台球,http://gat.bkpcp.top/ysp2.php?param=110&id=2024172403
CCTV卫生健康,http://gat.bkpcp.top/ysp2.php?param=151&id=2024165203



CGTN,http://gat.bkpcp.top/ysp2.php?param=035&id=2024181703
CGTN纪录,http://gat.bkpcp.top/ysp2.php?param=003&id=2024182303
CGTN西语,http://gat.bkpcp.top/ysp2.php?param=015&id=2024182103
CGTN法语,http://gat.bkpcp.top/ysp2.php?param=032&id=2024181803
CGTN阿语,http://gat.bkpcp.top/ysp2.php?param=024&id=2024182003
CGTN俄语,http://gat.bkpcp.top/ysp2.php?param=027&id=2024181903

CETV-1,http://mobilelive-timeshift.ysp.cctv.cn/ysp/2022823801/timeshift.m3u8?delay=0#http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8


北京卫视,http://gat.bkpcp.top/ysp2.php?param=004&id=2024052703
东方卫视,http://gat.bkpcp.top/ysp2.php?param=019&id=2024054503
天津卫视,http://gat.bkpcp.top/ysp2.php?param=047&id=2019927003
重庆卫视,http://gat.bkpcp.top/ysp2.php?param=043&id=2024061103
黑龙江卫视,http://gat.bkpcp.top/ysp2.php?param=030&id=2024061003
辽宁卫视,http://gat.bkpcp.top/ysp2.php?param=004&id=2024171303
河北卫视,http://gat.bkpcp.top/ysp2.php?param=004&id=2024171503
山东卫视,http://gat.bkpcp.top/ysp2.php?param=143&id=2024171603
安徽卫视,http://gat.bkpcp.top/ysp2.php?param=052&id=2024171403
河南卫视,http://gat.bkpcp.top/ysp2.php?param=017&id=2024059703
湖北卫视,http://gat.bkpcp.top/ysp2.php?param=027&id=2024171203
湖南卫视,http://gat.bkpcp.top/ysp2.php?param=048&id=2024054803
江西卫视,http://gat.bkpcp.top/ysp2.php?param=013&id=2024061703
江苏卫视,http://gat.bkpcp.top/ysp2.php?param=119&id=2024171103
浙江卫视,http://gat.bkpcp.top/ysp2.php?param=003&id=2024054703
东南卫视,http://gat.bkpcp.top/ysp2.php?param=027&id=2024061503
广东卫视,http://gat.bkpcp.top/ysp2.php?param=040&id=2024060903
深圳卫视,http://gat.bkpcp.top/ysp2.php?param=006&id=2024061303
广西卫视,http://gat.bkpcp.top/ysp2.php?param=040&id=2024060703
贵州卫视,http://gat.bkpcp.top/ysp2.php?param=049&id=2024061603
四川卫视,http://gat.bkpcp.top/ysp2.php?param=171&id=2024061403
新疆卫视,http://gat.bkpcp.top/ysp2.php?param=049&id=2019927403

兵团卫视,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8#http://mobilelive-timeshift.ysp.cctv.cn/ysp/2022606701/timeshift.m3u8?delay=0
海南卫视,http://123.184.28.3/hlslive-tx-cdn.ysp.cctv.cn/095/2024055603.m3u8




CCTV-1综合,http://gat.bkpcp.top/ysp1.php?id=2024078203
CCTV-2财经,http://gat.bkpcp.top/ysp1.php?id=2024075403
CCTV-1综合,http://serv00.bkpcp.top/tptv2.php?id=G_CCTV-1-AVS-4K264
CCTV-2财经,http://serv00.bkpcp.top/tptv.php?id=G_CCTV-2-HD-265-8M
CCTV-3综艺,http://gat.bkpcp.top/ysp1.php?id=2024068503
CCTV-4中文国际,http://gat.bkpcp.top/ysp1.php?id=2024078303
CCTV-5体育,http://gat.bkpcp.top/ysp1.php?id=2024078403
CCTV-5+体育赛事,http://gat.bkpcp.top/ysp1.php?id=2024078003
CCTV-6电影,http://gat.bkpcp.top/ysp1.php?id=2024086203
CCTV-7国防军事,http://gat.bkpcp.top/ysp1.php?id=2024072003
CCTV-8电视剧,http://gat.bkpcp.top/ysp1.php?id=2024078503
CCTV-9纪录,http://gat.bkpcp.top/ysp1.php?id=2024078603
CCTV-10科教,http://gat.bkpcp.top/ysp1.php?id=2024078703
CCTV-11戏曲,http://gat.bkpcp.top/ysp1.php?id=2024078803
CCTV-12社会与法,http://gat.bkpcp.top/ysp1.php?id=2024078903
CCTV-13新闻,http://gat.bkpcp.top/ysp1.php?id=2024079003
CCTV-14少儿,http://gat.bkpcp.top/ysp1.php?id=2024079103
CCTV-15音乐,http://gat.bkpcp.top/ysp1.php?id=2024079203
CCTV-16奥运,http://gat.bkpcp.top/ysp1.php?id=2024079303
CCTV-16奥运,http://gat.bkpcp.top/ysp1.php?id=2024083703
CCTV-17农业农村,http://gat.bkpcp.top/ysp1.php?id=2024079503
CCTV4K超高清,http://gat.bkpcp.top/ysp1.php?id=2024081303
CCTV第一剧场,http://gat.bkpcp.top/ysp1.php?id=2024171803
CCTV风云剧场,http://gat.bkpcp.top/ysp1.php?id=2024171703
CCTV怀旧剧场,http://gat.bkpcp.top/ysp1.php?id=2024171903
CCTV风云音乐,http://gat.bkpcp.top/ysp1.php?id=2024163303
CCTV女性时尚,http://gat.bkpcp.top/ysp1.php?id=2024172203
CCTV世界地理,http://gat.bkpcp.top/ysp1.php?id=2024172003
CCTV央视文化精品,http://gat.bkpcp.top/ysp1.php?id=2024172303
CCTV卫生健康,http://gat.bkpcp.top/ysp1.php?id=2024165203
CCTV兵器科技,http://gat.bkpcp.top/ysp1.php?id=2024172103
CCTV风云足球,http://gat.bkpcp.top/ysp1.php?id=2012514203
CCTV央视台球,http://gat.bkpcp.top/ysp1.php?id=2024172403
CCTV高尔夫网球,http://gat.bkpcp.top/ysp1.php?id=2024166203
CCTV电视指南,http://gat.bkpcp.top/ysp1.php?id=2024172503



CGTN,http://gat.bkpcp.top/ysp1.php?id=2024181703
CGTN纪录,http://gat.bkpcp.top/ysp1.php?id=2024182303
CGTN阿语,http://gat.bkpcp.top/ysp1.php?id=2024182003
CGTN西语,http://gat.bkpcp.top/ysp1.php?id=2024182103
CGTN法语,http://gat.bkpcp.top/ysp1.php?id=2024181803
CGTN俄语,http://gat.bkpcp.top/ysp1.php?id=2024181903

CETV-1,http://gat.bkpcp.top/ysp1.php?id=2022823801

北京卫视,http://gat.bkpcp.top/ysp1.php?id=2024052703
东方卫视,http://gat.bkpcp.top/ysp1.php?id=2024054503
湖南卫视,http://gat.bkpcp.top/ysp1.php?id=2024054803
江苏卫视,http://gat.bkpcp.top/ysp1.php?id=2024171103
浙江卫视,http://gat.bkpcp.top/ysp1.php?id=2024054703
安徽卫视,http://gat.bkpcp.top/ysp1.php?id=2024171403
天津卫视,http://gat.bkpcp.top/ysp1.php?id=2019927003
东南卫视,http://gat.bkpcp.top/ysp1.php?id=2024061503
辽宁卫视,http://gat.bkpcp.top/ysp1.php?id=2024171303
海南卫视,http://gat.bkpcp.top/ysp1.php?id=2024055603
深圳卫视,http://gat.bkpcp.top/ysp1.php?id=2024061303
广东卫视,http://gat.bkpcp.top/ysp1.php?id=2024060903
黑龙江卫视,http://gat.bkpcp.top/ysp1.php?id=2024061003
江西卫视,http://gat.bkpcp.top/ysp1.php?id=2024061703
广西卫视,http://gat.bkpcp.top/ysp1.php?id=2024060703
湖北卫视,http://gat.bkpcp.top/ysp1.php?id=2024171203
山东卫视,http://gat.bkpcp.top/ysp1.php?id=2024171603
贵州卫视,http://gat.bkpcp.top/ysp1.php?id=2024061603
四川卫视,http://gat.bkpcp.top/ysp1.php?id=2024061403
